,Heroes,(<2K MMR) PickRate(%),(2K-3K MMR) PickRate(%),(2K-3K MMR) WinRate(%),(3K-4K MMR) PickRate(%),(3K-4K MMR) WinRate(%),(4K-5K MMR) PickRate(%),(4K-5K MMR) WinRate(%),(>5K MMR) PickRate(%),(>5K MMR) WinRate(%),Heroes.1,(>2K MMR) KDA Ratio,(>2K MMR) Avg Match,(2K-3K MMR) KDA Ratio,(2K-3K) Avg Match,(3K-4K MMR) KDA Ratio,(3K-4K MMR) Avg Match,(4K-5K MMR) KDA Ratio,(4K-5K MMR) Avg Match,(<5K MMR) KDA Ratio,(<5K MMR) Avg Match
112,Monkey King,7.43%,6.91%,45.70%,6.96%,45.98%,7.13%,46.55%,7.41%,47.94%,Monkey King,2.53,41:12,2.75,40:51,2.82,40:10,2.89,38:57,2.95,36:29
113,Dark Willow,10.53%,11.38%,47.06%,12.61%,46.76%,13.50%,46.85%,15.29%,47.11%,Dark Willow,2.58,42:22,2.73,42:06,2.79,41:24,2.78,40:21,2.72,37:57
114,Pangolier,3.92%,4.46%,42.13%,5.18%,42.79%,5.93%,43.52%,8.52%,47.39%,Pangolier,2.67,41:50,2.93,41:32,3.07,40:53,3.2,39:52,3.5,37:22
115,Grimstroke,9.76%,12.39%,50.75%,14.41%,50.69%,15.88%,50.65%,18.65%,50.38%,Grimstroke,2.56,41:40,2.69,41:19,2.72,40:37,2.71,39:39,2.66,37:09
116,Hoodwink,7.63%,7.17%,48.03%,6.31%,47.91%,5.40%,47.62%,4.26%,48.37%,Hoodwink,2.93,42:19,3.02,41:59,3.04,41:18,3.02,40:00,2.99,38:02
117,Void Spirit,3.82%,3.89%,48.59%,4.02%,48.51%,4.07%,48.14%,3.66%,47.80%,Void Spirit,3.2,41:18,3.49,40:54,3.54,40:02,3.56,39:04,3.54,36:43
118,Snapfire,5.08%,6.07%,43.92%,6.04%,44.25%,5.56%,44.09%,4.40%,44.08%,Snapfire,2.51,41:57,2.63,41:33,2.64,40:49,2.61,39:42,2.55,37:19
119,Mars,2.40%,2.93%,44.23%,3.20%,44.69%,3.21%,44.58%,3.02%,44.41%,Mars,2.57,41:46,2.76,41:23,2.84,40:36,2.85,39:35,2.84,37:27
120,Dawnbreaker,6.88%,8.54%,47.69%,9.86%,47.87%,10.65%,48.23%,12.17%,47.44%,Dawnbreaker,2.81,41:11,2.9,40:51,2.91,40:02,2.9,39:03,2.86,36:46
121,Marci,3.70%,3.75%,48.74%,4.19%,48.33%,4.78%,49.64%,5.79%,49.23%,Marci,2.34,40:20,2.45,39:48,2.45,38:54,2.49,37:55,2.49,35:37
122,Primal Beast,6.40%,7.89%,49.31%,9.62%,49.82%,11.25%,50.75%,15.97%,51.67%,Primal Beast,2.95,41:50,3.15,41:26,3.24,40:41,3.31,39:38,3.4,36:59
123,Muerta,12.27%,14.74%,51.18%,17.28%,50.75%,19.11%,50.16%,23.42%,50.01%,Muerta,2.74,42:24,2.95,41:57,3.0,41:17,2.99,40:13,2.93,37:39
